system:index,forest_lab,id,max_ndvi,mean_ndvi,min_ndvi,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,ndvi_amplitude,rand,subset,.geo
00000000000000000006_0,0,AL_015105553,0.7555228471755981,0.6288138876358668,0.38070571422576904,0.5976908,0.51623714,0.65915674,0.68742657,0.7217799,0.6799157,0.3807057,0.7030675,0.61604327,0.7158177,0.5124028,0.75552285,0.3748171329498291,0.015105553608595,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0,AL_017185390,0.7386363744735718,0.5840989326437315,0.36071404814720154,0.5162412,0.4611172,0.3906241,0.51763487,0.62708104,0.6895238,0.7386364,0.7102167,0.7097491,0.65372765,0.6339211,0.36071405,0.37792232632637024,0.017185390651387,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,0,AL_034120672,0.6094674468040466,0.4997536962231,0.3519955277442932,0.35199553,0.36887583,0.45342645,0.49414316,0.5350029,0.5449266,0.60946745,0.5808279,0.5409669,0.5203732,0.55963784,0.43740058,0.2574719190597534,0.034120672663225,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,0,AL_153276093,0.731937825679779,0.6275842115283012,0.4423685073852539,0.4423685,0.47553602,0.57616264,0.70244336,0.7319378,0.6916486,0.71949154,0.7175776,0.67237294,0.6877985,0.5722937,0.54137933,0.28956931829452515,0.153276093140716,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,0,AL_153944964,0.6190476417541504,0.5168684708575407,0.24691464006900787,0.570812,0.5583622,0.57774276,0.5448549,0.5076748,0.49906087,0.4032276,0.5114235,0.6077452,0.5555556,0.24691464,0.61904764,0.3721330016851425,0.153944964949228,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,0,AL_207363086,0.8590116500854492,0.7168274770180384,0.5117844939231873,0.5858199,0.5390625,0.5117845,0.6634853,0.8488703,0.85901165,0.68079656,0.8448459,0.8495084,0.78896576,0.742279,0.6875,0.34722715616226196,0.207363086646017,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,0,AL_212759146,0.5247933864593506,0.2986745697756608,-0.17325036227703094,-0.17325036,0.056234717,0.2895277,0.42414346,0.49790794,0.5247934,0.4077593,0.49123943,0.43467668,0.3835811,0.21915285,0.028328612,0.6980437487363815,0.212759146262903,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,0,AL_227863797,0.6564977169036865,0.4878915722171466,0.1886674165725708,0.39553753,0.35104287,0.41007617,0.59073776,0.6397823,0.6564977,0.49662688,0.5858522,0.18866742,0.5764605,0.53813106,0.42528647,0.4678303003311157,0.227863797844295,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,0,AL_237439224,0.7046943306922913,0.5940937002499899,0.4352402687072754,0.44122472,0.45169523,0.5185979,0.68443495,0.70469433,0.6961686,0.6978517,0.7043145,0.63320595,0.6032028,0.55849344,0.43524027,0.26945406198501587,0.237439224744295,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0,0,AL_320675971,0.7901049256324768,0.5362000713745753,0.3004983365535736,0.7901049,0.649686,0.3600778,0.4512876,0.40397358,0.42057684,0.30049834,0.41854504,0.5241521,0.6535303,0.6927772,0.76919115,0.4896065890789032,0.320675971630172,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6_0,0,AL_346341642,0.7932279109954834,0.47378408908843994,0.2932015359401703,0.30839232,0.31158975,0.33521128,0.38896564,0.49078727,0.66071606,0.6636993,0.30030134,0.7932279,0.7479831,0.39133355,0.29320154,0.5000263750553131,0.346341642459736,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011e_0,0,AL_411415296,0.5203446745872498,0.34382350618640584,0.12679961323738098,0.2703732,0.22977841,0.24713643,0.34177214,0.40519336,0.4436564,0.3048973,0.12679961,0.5203447,0.48293963,0.41168806,0.34130284,0.3935450613498688,0.411415296960935,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128_0,0,AL_424255084,0.859025776386261,0.6414405206839243,0.3773796260356903,0.37737963,0.46850732,0.5890598,0.72587025,0.7801588,0.76641387,0.8590258,0.7548301,0.79489195,0.71153,0.42365593,0.44596273,0.4816461503505707,0.424255084445687,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130_0,0,AL_445198991,0.8253200650215149,0.5728739549716314,0.2992461323738098,0.51423377,0.5855169,0.650616,0.73496723,0.74319065,0.6380597,0.82532007,0.6755793,0.4790633,0.37779567,0.29924613,0.35089874,0.5260739326477051,0.445198991119484,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
